resolution,duration,bitrate,target_bitrate,reference_resolution,reference_duration,reference_birate,model,vmaf
720,634,494,500,1080,634,20089,vmaf_v0.6.1.json,69.654153
720,634,494,500,1080,634,20089,vmaf_v0.6.1.json_phone,87.093952
720,634,494,500,2160,634,20004,vmaf_4k_v0.6.1.json,62.477523
720,634,989,1000,1080,634,20089,vmaf_v0.6.1.json,82.672646
720,634,989,1000,1080,634,20089,vmaf_v0.6.1.json_phone,95.936829
720,634,989,1000,2160,634,20004,vmaf_4k_v0.6.1.json,73.126737
720,634,2491,2500,1080,634,20089,vmaf_v0.6.1.json,90.327167
720,634,2491,2500,1080,634,20089,vmaf_v0.6.1.json_phone,99.351559
720,634,2491,2500,2160,634,20004,vmaf_4k_v0.6.1.json,81.016216
720,634,5031,5000,1080,634,20089,vmaf_v0.6.1.json,92.518965
720,634,5031,5000,1080,634,20089,vmaf_v0.6.1.json_phone,99.717642
720,634,5031,5000,2160,634,20004,vmaf_4k_v0.6.1.json,83.764434
720,634,7566,7500,1080,634,20089,vmaf_v0.6.1.json,93.153451
720,634,7566,7500,1080,634,20089,vmaf_v0.6.1.json_phone,99.777263
720,634,7566,7500,2160,634,20004,vmaf_4k_v0.6.1.json,84.618821
720,634,10089,10000,1080,634,20089,vmaf_v0.6.1.json,93.450064
720,634,10089,10000,1080,634,20089,vmaf_v0.6.1.json_phone,99.801325
720,634,10089,10000,2160,634,20004,vmaf_4k_v0.6.1.json,85.0209
720,634,20102,20000,1080,634,20089,vmaf_v0.6.1.json,93.873419
720,634,20102,20000,1080,634,20089,vmaf_v0.6.1.json_phone,99.831427
720,634,20102,20000,2160,634,20004,vmaf_4k_v0.6.1.json,85.603592
1080,634,498,500,1080,634,20089,vmaf_v0.6.1.json,61.231442
1080,634,498,500,1080,634,20089,vmaf_v0.6.1.json_phone,79.666883
1080,634,498,500,2160,634,20004,vmaf_4k_v0.6.1.json,58.938742
1080,634,989,1000,1080,634,20089,vmaf_v0.6.1.json,81.964645
1080,634,989,1000,1080,634,20089,vmaf_v0.6.1.json_phone,95.044585
1080,634,989,1000,2160,634,20004,vmaf_4k_v0.6.1.json,75.190991
1080,634,2484,2500,1080,634,20089,vmaf_v0.6.1.json,93.412436
1080,634,2484,2500,1080,634,20089,vmaf_v0.6.1.json_phone,99.836164
1080,634,2484,2500,2160,634,20004,vmaf_4k_v0.6.1.json,86.971431
1080,634,4982,5000,1080,634,20089,vmaf_v0.6.1.json,96.578481
1080,634,4982,5000,1080,634,20089,vmaf_v0.6.1.json_phone,99.996809
1080,634,4982,5000,2160,634,20004,vmaf_4k_v0.6.1.json,91.057336
1080,634,7490,7500,1080,634,20089,vmaf_v0.6.1.json,97.444711
1080,634,7490,7500,1080,634,20089,vmaf_v0.6.1.json_phone,99.999772
1080,634,7490,7500,2160,634,20004,vmaf_4k_v0.6.1.json,92.328352
1080,634,10013,10000,1080,634,20089,vmaf_v0.6.1.json,97.828828
1080,634,10013,10000,1080,634,20089,vmaf_v0.6.1.json_phone,99.999996
1080,634,10013,10000,2160,634,20004,vmaf_4k_v0.6.1.json,92.908287
1080,634,20089,20000,1080,634,20089,vmaf_v0.6.1.json,98.838255
1080,634,20089,20000,1080,634,20089,vmaf_v0.6.1.json_phone,100.0
1080,634,20089,20000,2160,634,20004,vmaf_4k_v0.6.1.json,93.669637
1440,634,507,500,2160,634,20004,vmaf_4k_v0.6.1.json,49.144186
1440,634,1002,1000,2160,634,20004,vmaf_4k_v0.6.1.json,71.329226
1440,634,2508,2500,2160,634,20004,vmaf_4k_v0.6.1.json,87.896831
1440,634,5068,5000,2160,634,20004,vmaf_4k_v0.6.1.json,93.418582
1440,634,7620,7500,2160,634,20004,vmaf_4k_v0.6.1.json,95.107925
1440,634,10167,10000,2160,634,20004,vmaf_4k_v0.6.1.json,95.876621
1440,634,20354,20000,2160,634,20004,vmaf_4k_v0.6.1.json,96.830016
2160,634,517,500,2160,634,20004,vmaf_4k_v0.6.1.json,24.556169
2160,634,990,1000,2160,634,20004,vmaf_4k_v0.6.1.json,60.550222
2160,634,2474,2500,2160,634,20004,vmaf_4k_v0.6.1.json,85.3618
2160,634,4960,5000,2160,634,20004,vmaf_4k_v0.6.1.json,93.925376
2160,634,7466,7500,2160,634,20004,vmaf_4k_v0.6.1.json,96.570844
2160,634,9976,10000,2160,634,20004,vmaf_4k_v0.6.1.json,97.790523
2160,634,20004,20000,2160,634,20004,vmaf_4k_v0.6.1.json,100.0
